% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -------------------
 42.59    7.338562         170     43063           epoll_wait
 16.19    2.789602          55     50545           poll
 12.50    2.153540         507      4247       752 futex
  9.39    1.617970          36     44013           sendto
  8.16    1.406707          14     94540           getpid
  5.82    1.002466          22     44023         8 recvfrom
  1.91    0.328336          24     13476           brk
  1.68    0.289480          13     21992           write
  1.64    0.282417          12     21999           read
  0.13    0.022033           5      4056           epoll_ctl
  0.00    0.000257          23        11           munmap
  0.00    0.000169          84         2           clock_nanosleep
  0.00    0.000151           6        25           mprotect
  0.00    0.000102          25         4           madvise
  0.00    0.000081           1        58           mmap
  0.00    0.000070          23         3           clone3
  0.00    0.000050           1        35           close
  0.00    0.000040           2        15           rt_sigprocmask
  0.00    0.000035           0        46        22 openat
  0.00    0.000013           0        24           fstat
  0.00    0.000010           2         5           rseq
  0.00    0.000008           1         5           set_robust_list
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         3           socket
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         2           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         5           getsockname
  0.00    0.000000           0         3           getpeername
  0.00    0.000000           0         3           setsockopt
  0.00    0.000000           0         1           getsockopt
  0.00    0.000000           0         2           execve
  0.00    0.000000           0        26           fcntl
  0.00    0.000000           0         2           sched_getparam
  0.00    0.000000           0         2           sched_setscheduler
  0.00    0.000000           0         2           sched_getscheduler
  0.00    0.000000           0         2           prctl
  0.00    0.000000           0         2           arch_prctl
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0         2         2 newfstatat
  0.00    0.000000           0         1           accept4
  0.00    0.000000           0         5           eventfd2
  0.00    0.000000           0         2           epoll_create1
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         2           getrandom
------ ----------- ----------- --------- --------- -------------------
100.00   17.232099          50    342272       787 total
