% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -------------------
 52.22   13.147686       14106       932       378 futex
 24.61    6.195399         295     20999           poll
  9.06    2.280179          20    110012           sendto
  5.71    1.438534          12    112019      2010 recvfrom
  3.36    0.847038           7    106207           epoll_wait
  2.36    0.595274           9     64075           getpid
  1.60    0.403504          15     26715      4636 read
  0.90    0.226261          10     22071           write
  0.15    0.038307         144       266           madvise
  0.02    0.006150           6      1016           epoll_ctl
  0.00    0.000229           3        73           mmap
  0.00    0.000123           3        38           close
  0.00    0.000081           6        12        10 prctl
  0.00    0.000042           2        15           rt_sigprocmask
  0.00    0.000025           6         4           munmap
  0.00    0.000023           7         3           clone3
  0.00    0.000010           0        26           fstat
  0.00    0.000007           1         5           rseq
  0.00    0.000006           1         5           set_robust_list
  0.00    0.000004           1         4           getrandom
  0.00    0.000000           0         1           open
  0.00    0.000000           0        15           mprotect
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         4           ioctl
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         3         3 access
  0.00    0.000000           0         3           socket
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         3         2 accept
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         2           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         6           getsockname
  0.00    0.000000           0         4           getpeername
  0.00    0.000000           0         3           setsockopt
  0.00    0.000000           0         1           getsockopt
  0.00    0.000000           0         2           execve
  0.00    0.000000           0        24           fcntl
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2           sched_getparam
  0.00    0.000000           0         2           sched_setscheduler
  0.00    0.000000           0         2           sched_getscheduler
  0.00    0.000000           0         2           arch_prctl
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0         2           clock_nanosleep
  0.00    0.000000           0        49        24 openat
  0.00    0.000000           0         2         2 newfstatat
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           timerfd_settime
  0.00    0.000000           0         6           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- -------------------
100.00   25.178882          54    464659      7066 total
