% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -------------------
 51.12    9.807810       11931       822       309 futex
 20.74    3.978447         190     20935           poll
  8.39    1.609537          30     52022      2010 recvfrom
  7.94    1.524300          57     26391      3196 writev
  4.02    0.771261          12     63878           getpid
  2.95    0.565924          12     46190           epoll_wait
  2.33    0.447676          16     26425      4415 read
  1.47    0.281167          12     22002           write
  0.56    0.106805          10     10017           sendto
  0.25    0.048861         104       468           madvise
  0.23    0.044069          10      4215           epoll_ctl
  0.00    0.000218         109         2           clock_nanosleep
  0.00    0.000135           1        72           mmap
  0.00    0.000132           3        38           close
  0.00    0.000095           8        11         9 prctl
  0.00    0.000035          11         3           clone3
  0.00    0.000025           1        15           rt_sigprocmask
  0.00    0.000013           0        15           mprotect
  0.00    0.000010           0        26           fstat
  0.00    0.000009           1         5           set_robust_list
  0.00    0.000009           1         5           rseq
  0.00    0.000005           1         4           getrandom
  0.00    0.000000           0         1           open
  0.00    0.000000           0         4           munmap
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         4           ioctl
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         3         3 access
  0.00    0.000000           0         3           socket
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         3         2 accept
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         2           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         6           getsockname
  0.00    0.000000           0         4           getpeername
  0.00    0.000000           0         3           setsockopt
  0.00    0.000000           0         1           getsockopt
  0.00    0.000000           0         2           execve
  0.00    0.000000           0        24           fcntl
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2           sched_getparam
  0.00    0.000000           0         2           sched_setscheduler
  0.00    0.000000           0         2           sched_getscheduler
  0.00    0.000000           0         2           arch_prctl
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0        49        24 openat
  0.00    0.000000           0         2         2 newfstatat
  0.00    0.000000           0         1           timerfd_create
  0.00    0.000000           0         1           timerfd_settime
  0.00    0.000000           0         6           eventfd2
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- -------------------
100.00   19.186543          70    273710      9971 total
