% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -------------------
 57.15    5.103309        1752      2912       638 futex
 17.14    1.530621          72     20992           poll
  5.76    0.514696           8     64018           getpid
  5.52    0.493206          11     44005           sendto
  5.27    0.470295          10     46013      2007 recvfrom
  3.58    0.319288           7     43072           epoll_wait
  2.20    0.196089           7     25433      3403 read
  1.94    0.173407           7     22025           write
  1.33    0.118952          19      6163           brk
  0.07    0.006520           6      1016           epoll_ctl
  0.01    0.000510         255         2           clock_nanosleep
  0.00    0.000407           9        45           mmap
  0.00    0.000304         304         1           mkdir
  0.00    0.000192          10        19           mprotect
  0.00    0.000180         180         1           execve
  0.00    0.000176          58         3           clone3
  0.00    0.000153           6        24           fcntl
  0.00    0.000130           9        14         5 openat
  0.00    0.000103          17         6           eventfd2
  0.00    0.000100           6        15           rt_sigprocmask
  0.00    0.000091          22         4           munmap
  0.00    0.000070           3        20           close
  0.00    0.000049           9         5           madvise
  0.00    0.000047          11         4           set_robust_list
  0.00    0.000037           9         4           ioctl
  0.00    0.000037          37         1           bind
  0.00    0.000036          12         3         2 accept
  0.00    0.000031           3         9           fstat
  0.00    0.000028          14         2           socket
  0.00    0.000023          11         2           prctl
  0.00    0.000023           5         4           rseq
  0.00    0.000020           6         3           getpeername
  0.00    0.000015           7         2           sched_setscheduler
  0.00    0.000014           7         2           sched_getparam
  0.00    0.000013           6         2           sched_getscheduler
  0.00    0.000011          11         1           connect
  0.00    0.000010           5         2         2 newfstatat
  0.00    0.000009           3         3           getsockname
  0.00    0.000008           4         2         1 unlink
  0.00    0.000007           3         2           pread64
  0.00    0.000007           3         2           getsockopt
  0.00    0.000006           6         1         1 access
  0.00    0.000006           6         1           timerfd_create
  0.00    0.000006           6         1           timerfd_settime
  0.00    0.000006           6         1           getrandom
  0.00    0.000004           4         1           listen
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           epoll_create1
  0.00    0.000004           4         1           prlimit64
  0.00    0.000003           3         1           rt_sigaction
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000000           0         1           rmdir
------ ----------- ----------- --------- --------- -------------------
100.00    8.929270          32    275869      6059 total
